SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,BaseScore,x1,x2,x3,x7,x9,Score
1,0.0,44,0,0.268636965,6800.0,8,0,2,0,2.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.534015032,33,0,0.221682617,7000.0,7,0,0,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.043965978,57,0,0.118450683,6660.0,6,0,1,0,2.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
1,0.263112984,70,0,0.142844293,11116.0,9,0,2,0,0.0,707.0,2.0,7.0,-12.0,-51.0,-30.0,623.0
1,0.55908693,47,0,0.82811459,1500.0,8,0,0,0,1.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.003115176,42,1,0.556708357,7035.0,10,0,2,0,2.0,707.0,11.0,-2.0,-24.0,-51.0,-30.0,611.0
1,0.726665566,43,0,0.381452318,8000.0,8,0,2,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.666655809,75,1,0.498977505,4400.0,16,0,1,0,0.0,707.0,-10.0,7.0,-24.0,-51.0,-30.0,599.0
1,0.4797981,39,0,0.290044372,16000.0,17,0,2,0,0.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.597828328,53,0,0.077496274,3354.0,3,0,0,0,0.0,707.0,-10.0,1.0,-12.0,-51.0,-30.0,605.0
1,0.399410307,62,0,0.7521486,7213.0,21,0,2,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.263543386,77,0,0.641969519,4264.0,10,0,3,0,0.0,707.0,2.0,7.0,-12.0,-51.0,-30.0,623.0
1,0.005433273,53,0,0.367608352,11397.0,11,0,2,0,2.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.069944884,44,0,0.415265414,6065.0,4,0,1,0,0.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.096112098,51,1,0.421094732,8750.0,12,0,1,0,0.0,707.0,10.0,-1.0,-24.0,-51.0,-30.0,611.0
0,0.404769332,61,1,0.228221742,4166.0,15,0,1,0,0.0,707.0,2.0,3.0,-24.0,-51.0,-30.0,607.0
1,0.669170259,48,0,0.572879009,13000.0,9,0,4,0,0.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.146815813,48,0,0.164466737,7575.0,3,0,1,0,1.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.015936092,71,0,0.008072511,7060.0,13,0,0,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.964452344,38,0,0.504557483,3400.0,5,0,2,0,2.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
0,0.9999999,32,0,0.056805272,4400.0,1,0,0,0,1.0,707.0,-10.0,-3.0,-12.0,-51.0,-30.0,601.0
1,0.019738529,80,0,0.098550725,2069.0,5,0,0,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.9999999,60,0,0.161901358,2797.0,4,0,0,0,0.0,707.0,-10.0,3.0,-12.0,-51.0,-30.0,607.0
1,0.99760048,52,2,0.30167119,7000.0,14,0,1,0,0.0,707.0,-10.0,-1.0,-24.0,-51.0,-30.0,591.0
1,0.191074796,31,0,0.097161136,2500.0,4,0,0,0,0.0,707.0,2.0,-3.0,-12.0,-51.0,-30.0,613.0
